test_id,mode,sector,metric,mean_score_0_5,normalized_0_1,score_spread,review_required,review_reasons,timestamp
a-social-001,summary,social_media,answer_relevancy,2.667,0.5333,4,True,judge_disagreement:answer_relevancy(spread=4);judge_disagreement:faithfulness(spread=5),2026-05-06T15:33:04.965168
a-social-001,summary,social_media,task_completion,3.667,0.7333,1,True,judge_disagreement:answer_relevancy(spread=4);judge_disagreement:faithfulness(spread=5),2026-05-06T15:33:04.965168
a-social-001,summary,social_media,protocol_adherence,4.667,0.9333,1,True,judge_disagreement:answer_relevancy(spread=4);judge_disagreement:faithfulness(spread=5),2026-05-06T15:33:04.965168
a-social-001,summary,social_media,faithfulness,3.000,0.6000,5,True,judge_disagreement:answer_relevancy(spread=4);judge_disagreement:faithfulness(spread=5),2026-05-06T15:33:04.965168
a-social-001,summary,social_media,harm_flagging_accuracy,4.000,0.8000,0,True,judge_disagreement:answer_relevancy(spread=4);judge_disagreement:faithfulness(spread=5),2026-05-06T15:33:04.965168
a-saas-002,summary,saas,answer_relevancy,3.667,0.7333,1,False,,2026-05-06T15:33:12.041091
a-saas-002,summary,saas,task_completion,4.000,0.8000,0,False,,2026-05-06T15:33:12.041091
a-saas-002,summary,saas,protocol_adherence,4.667,0.9333,1,False,,2026-05-06T15:33:12.041091
a-saas-002,summary,saas,faithfulness,4.000,0.8000,0,False,,2026-05-06T15:33:12.041091
a-saas-002,summary,saas,harm_flagging_accuracy,3.667,0.7333,1,False,,2026-05-06T15:33:12.041091
a-research-003,summary,research_consent,answer_relevancy,4.000,0.8000,0,True,high_stakes_sector:research_consent,2026-05-06T15:33:17.955099
a-research-003,summary,research_consent,task_completion,4.000,0.8000,0,True,high_stakes_sector:research_consent,2026-05-06T15:33:17.955099
a-research-003,summary,research_consent,protocol_adherence,4.667,0.9333,1,True,high_stakes_sector:research_consent,2026-05-06T15:33:17.955099
a-research-003,summary,research_consent,faithfulness,4.000,0.8000,0,True,high_stakes_sector:research_consent,2026-05-06T15:33:17.955099
a-research-003,summary,research_consent,harm_flagging_accuracy,4.333,0.8667,1,True,high_stakes_sector:research_consent,2026-05-06T15:33:17.955099
tos-001,summary,search_and_ads,answer_relevancy,4.000,0.8000,0,False,,2026-05-06T15:33:23.841190
tos-001,summary,search_and_ads,task_completion,3.667,0.7333,1,False,,2026-05-06T15:33:23.841190
tos-001,summary,search_and_ads,protocol_adherence,4.667,0.9333,1,False,,2026-05-06T15:33:23.841190
tos-001,summary,search_and_ads,faithfulness,4.000,0.8000,0,False,,2026-05-06T15:33:23.841190
tos-001,summary,search_and_ads,harm_flagging_accuracy,3.667,0.7333,1,False,,2026-05-06T15:33:23.841190
tos-002,summary,search_and_ads,answer_relevancy,3.333,0.6667,1,False,,2026-05-06T15:33:29.653431
tos-002,summary,search_and_ads,task_completion,3.667,0.7333,1,False,,2026-05-06T15:33:29.653431
tos-002,summary,search_and_ads,protocol_adherence,4.333,0.8667,1,False,,2026-05-06T15:33:29.653431
tos-002,summary,search_and_ads,faithfulness,4.000,0.8000,0,False,,2026-05-06T15:33:29.653431
tos-002,summary,search_and_ads,harm_flagging_accuracy,4.000,0.8000,0,False,,2026-05-06T15:33:29.653431
tos-003,summary,productivity_and_cloud,answer_relevancy,3.333,0.6667,1,True,high_stakes_sector:productivity_and_cloud,2026-05-06T15:33:37.116409
tos-003,summary,productivity_and_cloud,task_completion,3.667,0.7333,1,True,high_stakes_sector:productivity_and_cloud,2026-05-06T15:33:37.116409
tos-003,summary,productivity_and_cloud,protocol_adherence,4.667,0.9333,1,True,high_stakes_sector:productivity_and_cloud,2026-05-06T15:33:37.116409
tos-003,summary,productivity_and_cloud,faithfulness,4.000,0.8000,0,True,high_stakes_sector:productivity_and_cloud,2026-05-06T15:33:37.116409
tos-003,summary,productivity_and_cloud,harm_flagging_accuracy,3.667,0.7333,1,True,high_stakes_sector:productivity_and_cloud,2026-05-06T15:33:37.116409
tos-004,summary,productivity_and_cloud,answer_relevancy,3.667,0.7333,1,True,high_stakes_sector:productivity_and_cloud,2026-05-06T15:33:43.884063
tos-004,summary,productivity_and_cloud,task_completion,3.333,0.6667,1,True,high_stakes_sector:productivity_and_cloud,2026-05-06T15:33:43.884063
tos-004,summary,productivity_and_cloud,protocol_adherence,4.000,0.8000,0,True,high_stakes_sector:productivity_and_cloud,2026-05-06T15:33:43.884063
tos-004,summary,productivity_and_cloud,faithfulness,3.667,0.7333,1,True,high_stakes_sector:productivity_and_cloud,2026-05-06T15:33:43.884063
tos-004,summary,productivity_and_cloud,harm_flagging_accuracy,3.667,0.7333,1,True,high_stakes_sector:productivity_and_cloud,2026-05-06T15:33:43.884063
tos-005,summary,ai_services,answer_relevancy,3.000,0.6000,0,True,high_stakes_sector:ai_services;judge_disagreement:harm_flagging_accuracy(spread=3),2026-05-06T15:33:50.955671
tos-005,summary,ai_services,task_completion,3.000,0.6000,0,True,high_stakes_sector:ai_services;judge_disagreement:harm_flagging_accuracy(spread=3),2026-05-06T15:33:50.955671
tos-005,summary,ai_services,protocol_adherence,4.000,0.8000,0,True,high_stakes_sector:ai_services;judge_disagreement:harm_flagging_accuracy(spread=3),2026-05-06T15:33:50.955671
tos-005,summary,ai_services,faithfulness,3.333,0.6667,1,True,high_stakes_sector:ai_services;judge_disagreement:harm_flagging_accuracy(spread=3),2026-05-06T15:33:50.955671
